,text,sen
130,ok entering mental sickness stage,-1
131,intelligence squared bitcoin v gold debate scaramucci since bitcoin pumpers forgot rig vote time actually able win one check judge,-1
132,bitcoin price near bottom k dip say bullish institutional report,-1
133,bitcoin plunge first time since january world top digital asset bitcoin suffered daily plunge dragging cryptocurre bitcoin cryptocurrency digitalasset,-1
134,ummmm bottom zero needed telescope see needed binoculars see need look,-1
135,cashapp would party bitcoin nt dropping like cashappfridaynight crashrs,-1
136,invested bitcoin year ago alltime high,-1
137,switzerland hesitant possible mass adoption bitcoin,-1
138,rovercrc checked btc nothing bullish price still market still unstable however find pptorn vault auto compounding apr maximizes user deposit torn reward increase profit reduces gas fee bullish,-1
139,new trezor paid fee btc move k worth btc coinbase pro trezor normal much money transfer fund,-1
140,dunno risk earning interest holding btc worth lot risk managing crypto people,-1
141,hurt see whole crypto portfolio fall minus money buy dip dogecoin bitcoin eth,-1
142,bitcoin ready bearmarket btc take profit,-1
143,jamie dimon remains skeptic bitcoin stating bitcoin regulated government click detail leapwealth texasadvisor bitcoin,-1
144,tesla currently million bitcoin investment buy dip elon,-1
145,buy ford bitcoin buy money lose wisdom,-1
146,btc retraced time high still le retracement past september btc crypto bitcoin,-1
147,tesla revers decision bitcoin car payment environmental concern bitcoin,-1
148,ethereum better bitcoin better money continues scale meet demand better finance supporting service required money defi better store value lower inflation long term security,-1
149,yes btc crash run sadly missed btc ever k seriously doubt hey one know sure anything possible saying opinion likely think btc rose last time downhill stop around k would best nonexpert guess,-1
150,cryptohayes im willing bet wont see btc k,-1
151,depression type irresponsible statement going hurt new investor misled buy wrong time btc going fall due ftx genesis crisis crypto market absolutely chance btc going k week,-1
152,tonevays excuse btc price manipulation,-1
153,got ta say fucking suck trading btc,-1
154,head shoulder inside bear flag looking good btc btc,-1
155,digital currency risky invest caution btc ethereum,-1
156,monthly closed like shit whole summer boring gg bull trash btc,-1
157,mathieusylvain see bfx btc already fallen k sign life,-1
158,buyer lost last week trading bitcoin coming back range bias lot ppl cashed much loss coming back soon still profit planning rebuy lower price eye spx untill,-1
159,fun staying poor guy bitcoin,-1
160,anyone know mana moon hard broke mana crypto bitcoin btc,-1
161,smart company wouldnt say getting bitcoin wouldnt want spike price would,-1
162,curious see new imaginary support line permanentbull guy find bitcoin fall expectation,-1
163,bitcoin pyramid scheme wreak havoc brazil new egypt currency worldnews,-1
164,trading volume extremely unusual suspicious look exactly expect heavily manipulated market bitcoin,-1
165,sold land house car even borrowed money bought bitcoin k april thinking keep going one day learn lesson nt make investment decision greed praisesnuggets bitcoin,-1
166,bitcoin update btc ended crashing bounce range flipped support back resistance clear range bottom k lost price since continued pretty clear downtrend remains intact bounce k relief rally btc,-1
167,bitcoin slow futile go offchain even crazier system try save face btc legit peertopeer system pump bag,-1
168,mayhemmarkets real question going happen btc corrects couple day btc corrected le,-1
169,unfortunately id never safe risk take buying using coinbase similar exchange,-1
170,good morning east asia australia market cap past h wagging tail btc dominance fear greed index show market fear,-1
171,danheld bitcoin give back sometime take together,-1
172,total crypto market cap continues crumble dollar index hit year high crypto bitcoin cryptocurrency,-1
173,mind gap look gold upside potential given huge drop real yield given digital gold bitcoin keep struggling wthe mark,-1
174,bitcoin czbinance scammer crypto nt use bnbchain stealing money bnbchain pumping gmt token bnb token rugpulls also czbinance scammer crypto,-1
175,muatafagmi peterschiff someone offer gift gold ingot equivalent bitcoin always take ingot hard truth people would even crypto guy hype crypto market gambling nothing else,-1
176,chinese central bank prohibits bank offering financial service could used trading cryptocurrencies like bitcoin,-1
177,wtf dream seeing btc bnb eth dream,-1
178,breedlove saying bribe bitcoin health passport guard massive asset appreciation black market mmm interesting theory could work,-1
179,guy still got money food lol sleeping hungry,-1
180,easyeight someone please delete btc,-1
181,resource always manipulate market politics health,-1
182,bitcoin bottom mike novogratz predicts bottom bitcoin ethereum,-1
183,ev market share already dropping like rock,-1
184,best treat btc like child ca nt go k know exactly happen eventually btc,-1
185,fuck alt btc everything red almighty red,-1
186,hate finance bros took bitcoin pegged fiat bitcoin could inflation hedge supposed finance bros,-1
187,used kraken small x leverage longs rollover fee every hour seemed expensive,-1
188,nice vechain shill account nt tell u dirty mid thirty bottom dweller could tell,-1
189,happens bitcoin fall bitcoin nearly past week expert believe still go lower,-1
190,getting binance personally lost faith like money locked,-1
191,bonafidefluke fear btc umb isp,-1
192,take away yesterday bword debate wood musk dorsey global operating company unwise hold bitcoin negative yield easy international transfer curious long take apple step reveal holding,-1
193,still going bottom isnt,-1
194,cardano founder point flaw ethereum bitcoin bitcoin ethereum via,-1
195,manipulation peek ftx bitcoin binance,-1
196,really rallying musk tweet whatever view bitcoin fact one twitter account move entire market good asset,-1
197,surprised people trust sbf crypto scam account k follower bitcoin related fake news time people able verify information anymore,-1
198,major bitcoin relief rally imminent seller lose confidence say crypto analyst nicholas merten,-1
199,bitcoin one giant meme stock small guy bought pumped decade bullsht disruptiontech narrative reeled institutional money bank levered dunked,-1
200,really asking stranger important question sure get well meaning answer probably need professional advice,0
201,would say proofofstake le secure,0
202,update bitcoin weekly chart btc jclcapital,0
203,buy cash app high fee purchase eat withdrawal fee personally like already btc send lightning wallet avoid high fee future,0
204,rektcapital case btc would close weekly candle wick word renounce back upp k sunday midnight,0
205,fun nt make sense look like,0
206,yea think thanks dip stacked,0
207,true though energy consumption day seems massive rate amount though fact look thing come closer world resource used,0
208,tank baby buy k,0
209,bitcoin note red box show price went four month reverse symmetry could u back around within next four month much le feel free remind,0
210,much energy used people masturbating bet lot hear,0
211,whalealert keep transferred multiple hundred wallet btc,0
212,daily discussion group criticizing anyone holding please stop jacking karma thank,0
213,let check metric behavior massive drop may many people thought btc drop k area bull run ended bitcoin broke k level rose k ath puell multiple near blue box could nt break upwards,0
214,bet hit million subscriber dec st nt eat john mcafees dick gross cause know wierd shit,0
215,btc daily weekly one gon na win,0
216,research last ath jan th dropped week correct wrong expected reach new ath general consensus new floor sorry stupid question new coming stock thanks,0
217,day ago lol relax buddy,0
218,transaction report gmo coin jst close sell btcjpy jpy bitcoin,0
219,btc usd transferred coinbase unknown wallet powered,0
220,auto buythedip collecting bitcoin at daily via blockfi purchase via trylolli foldapp grow at cakedefi defichain dfi bonus code,0
221,question dabbled bitcoin back flirting k made pretty penny time cashed ups down since never stopped following bitcoin position may able start buying however landscape changed bit since coinbase horror story year make trust anymore even transferred coin away personal wallet setup phone moved back wanted sell nt even want use coinbase period good trustworthy android app buyingselling bitcoin exchange second good wallet setupsolution also trustworthy android app nt recall app used previously unfortunately,0
222,bitcoinpizza would worth u right last hour bitcoin,0
223,end ww dismantling new deal meant u government cut spending astonishing u economy witnessed extraordinary boom year saifedean ammous thebitcoinstandard bitcoin cryptocurrency,0
224,price update usd hour btc eth xrp,0
225,get popular hardware wallet trezor one bitcoin,0
226,absolutely nothing coinbase user coinbase btc eth,0
227,could pray everyday price go took small loan celcius experiment serious investing let say need money future want know borrowing btc work dont sell btc,0
228,btc weekly outlook coming prefutures open deep bitcoin entry yet close,0
229,nothing instant want fast possible need wallet let set fee higher fee get put block fastest,0
230,btc derivs sheet tweet every min cme delayed min g delayed min oi share,0
231,difficult view btc outside broader market since correlation stock jumped bitcoin remaining correlated nasdaq p index market also feeling pain fed quantitative tightening qt policy,0
232,mean say wallet nt word phrase good wallet start would phrase blue wallet work cake platform,0
233,pathetic bitcoin normal bullbear trend look past chart k coming,0
234,computerart bitcoin blockchain last block height see,0
235,btc still retesting ascending triangle top wicking ultimately trying stay downside wick fine long daily close occurs needed confirm successful third retest attempt btc crypto bitcoin,0
236,bitcoin btc impulse bar btc bar close crypto short term volatility detection,0
237,serious pull back expected running high short period time k end year,0
238,certain amount comfort threshold person invest wallet wallet cost game really worth everyone paranoid exchange coin sits get hacked crash whatever use shakepay trust life anything feel somewhat comfortable leaving btc feel good time cash maybe wallet diehard way invested,0
239,place entry opinion btc cryptocurrecy,0
240,fear greed index bitcoin cryptocurrencies value status fear bitcoin price btc,0
241,thought btc bitcoin see maleknafaa idea tradingview,0
242,btc derivs sheet tweet every min cme delayed min g delayed min oi share,0
243,long bel entry price tz stop loss link profile bel btc bitcoin,0
244,far wan btc top price reached highest profit reached algotrade,0
245,thought btc bitcoin see pnchan idea tradingview,0
246,laughing hard people buying k hesitant buy k,0
247,btc latest block info block hold transaction total bitcoin including block reward block size byte,0
248,drive gokart fun buy nft bitcoin ethereum,0
249,compare bitcoin performance asian european american trading period today btc returned asia europe yesterday btc returned american session,0
250,anyone understand bitcoin clinging sure nt blasting k feed bearish enough pain please,0
251,waiting shibainucoin go bonkers beat bitcoin fun watching,0
252,bitcoin finally recovering btc still crashing people freaking every single time price go k baffle bitcoin exact pattern called month ago literally nothing changed chill,0
253,mark sweet william gallacher sheila freeman btc,0
254,bitcoin market alert order balance sell buy sell bid ask spread,0
255,k combined bitcoin btc short liquidation last minute huobi k binance k bybit k,0
256,rovercrc depends day hold little btc,0
257,remember one year ago willy woo predicted k end,0
258,emmalladro hi emma still gunning upward per rsi hr tf oversold region bitcoin latest analysis tnx btc btc,0
259,bitcoin adoption africa raypaxful full interview host dennisporter wsfoxley,0
260,andrew yang crypto politics ukraine golden dao aapi community bitcoin,0
261,usd mkt cap change last hour btc b luna b avax b xrp xec ftt bitcoin cryptocurrency crypto,0
262,btc btc eth eth bnb bnb,0
263,long timei nt want care btc r l anything else,0
264,reckon another biggish dip brought day trader whale people keep learning rebound might last near k people become confident bear unless bear market idea,0
265,long lit entry price tz stop loss link profile lit btc bitcoin,0
266,come brand new chicken,0
267,altcoinsherpa honest le major part portfolio spread alt sol dot avax bigcaps oin adax aioz smallcaps another alt eth btc,0
268,mkbhd look lot like bitcoin altcoins,0
269,btc liquidated long k,0
270,nt think understand bitcoin investing work,0
271,hardware wallet nobody nothing see private key use fund computer people computer even keylogger without fearing losing fund,0
272,ahh see make sense,0
273,silly bear dip drip,0
274,future football btc btcusd,0
275,inversebull aneesbtc guy thought recent btc inflowsoutflows feel bit strange whalealert,0
276,trillionusd hear still bitcoin available buy,0
277,today bitcoin fear greed index neutral crypto cryptocurrency,0
278,btc download app bitcoin,0
279,strange even hacking poly network crypto lesson trademoneta crypto bitcoin,0
280,cleg bitcoin pe game,0
281,real battle going around k k range watching live quite experience,0
282,btc clean breakout top range trading consecutive week nice retest support held breakout expect shallow dip continue higher wave lavax brwl opct luna kara vra trias ax gmt,0
283,bitcoin risk v reward,0
284,pretty clear bart hourly felt tedious need bust,0
285,actually though would bounce back earlier xd,0
286,see diminishing return every cycle definitely expected diminishing rate x also interesting see cycle bottom higher previous cycle top limited data point may mean absolutely nothing observing btc,0
287,talking rejection zone dashed support line video coming within next hour stay tuned crypto cryptocurrency btc,0
288,largo plazo bitcoin btc eth ada link,0
289,buying fear bitcoin k financial advice,0
290,keep patience fomo based min chart,0
291,intocryptoverse knowledge cryptocurrency bitcoin,0
292,yes course gain gain think people want fomo highly unlikely imo price seems high someone put money right,0
293,btc bitcoin day chart,0
294,nano xno bitcoin btc marketcap vice versa change mind,0
295,gpu price inflation dip slightly ether downtrend continues btc bitcoinnews bitcoin,0
296,development change bitcoin btc crypto ada,0
297,bitcoin mempool currently mb transaction waiting block total fee transaction sat median fee satvb,0
298,nt miss week money talk tune friday pst interview cardano founder iohkcharles weekly update bitcoin market latest abra chance ask billbarhydt anything abra crypto,0
299,blockchain analytics tool designed help dark web user check clean bitcoin opened againjust one week shut,0
300,k held theory go back test k,0
301,everyone double checking address anyways good reminder,0
302,incomesharks cryptocevo let u forget bitcoin year ago prepared dip alway cautious follow btcy tweet ta prediction tip accurate following closely supper underrated bitcoiner follow,0
303,hmmmm raoul become cathie fanboy sorry maybe always pay close attention arkk tsla bitcoin,0
304,moonpay make web payment unstoppable domain partnership cryptocurrency crypto bitcoin,0
305,sure hash rate price think btc mined regular rate supply rate remains consistent,0
306,bitcoin price canadian dollar btc xbt btccad btc price cad avg last hour avg hour h change h low h high information,0
307,week graph kinda look like year graph,0
308,level trade given advance asia getting big move still respecting technical bitcoin btc trading cryptocurrency,0
309,schiffy tweeting bitcoin buy signal,0
310,btc ripping important yellow zone resistance turning support hr next target important major resistance k yellow zone bull flag breaking moment bitcoin,0
311,reckon closer mark actually analysis spot doubtless based year trading experience mine trouble analysis nt factor number candle divided length green one red one er something,0
312,btc transferred unknown wallet unknown wallet tx blockchain btc,0
313,maybe change outcome fundamental weak banning change,0
314,used coinbase coinbase pro bitstamp buy cna check calculator cointaxwtf even tell short long term gain sold stack see page example,0
315,anyone buy direct trezor better exchange transfer,0
316,tl dr public key used lock bitcoin private key used unlock spending nothing actually leaf blockchain source use everyday help evolve bitcoin basic kiarabickers bitcoin clarity bitcoin philosophy breedlove,0
317,viable reset eot looking good walk away let computer manage price time cycle remove,0
318,hash ribbon caprioleio w prestonpysh bitcoin hashribbons merryoscar,0
319,credit cart nt accepted place,0
320,someone sell another one bought think one bought sell,0
321,bitcoin brainwallet recovery tool python python bitcoin,0
322,sound like smart criminal,0
323,wjvalk investanswers fossgregfoss jeffbooth canadian started buying canadian spot etf inside tfsa able orange pill amazing wife switched buying bitcoin direct shakepay moving cold storage thank investanswers jeffbooth fossgregfoss others forhelping,0
324,trolling serious advice dont wan na lose money mean wont debt anything still lot,0
325,nft news floki metaverse integrating nfts metaverse capability globenewswire nft btc bitcoin,0
326,surprisingly float volume information public need access large enough sum move given market hedge fund time fpool btc well,0
327,falling wedge daily bitcoin,0
328,believe possible stock market go bitcoin gold go next weeksmonths,0
329,nt even pay attention lol want spread fud,0
330,odd done several time today,0
331,literally exact comment history one might expect someone would post,0
332,btc aggregated inflow coinbase pro,0
333,btc equal eur bitcoin euro,0
334,time try men soul,0
335,sure leave node unsupervised safe make sure turn monitoring attend bitcoinconfeur tabconf bitcoin lightningnetwork,0
336,btc new bottom incoming beware fake pump would buy price drop altcoins max buy price around corner waiting patiently,0
337,btc btc eth eth bnb bnb,0
338,bitcoin btc hellow h,0
339,probably good time put btc hat full set sale especially looking clone rare set hmu interested nftcommunity nftcollector,0
340,pulte real pulte k btc,0
341,bitcoin still holding red seems like really defended whale know close likely get big selloff maybe hold go back green april monthly btc close let see,0
342,oaxbtc chart oaxx via coinigy opportunity everywhere slowly botteming next altseason later year bitcoin trading,0
343,btcusdt shorted binance utc btc cryptocurrency,0
344,get recession october congress approved billion bank bailout known troubled asset relief program february obama proposed billion economic stimulus package helped avert global depression btc,0
345,yes market cap work also nt know maximalist favorite cryptocurrency altcoin,0
346,waiting bear run well told panda run btc,0
347,yeah alt ridiculous nt know going go major one get back stellar seems well even month shittier one might funniest thing random one actually last month never know,0
348,close k go lower k hold k consolidate see bitcoin,0
349,bearish thing bitcoin right retail trader freaking dip,0
350,bitcoin holding green belt support december lose free fall btc crypto,0
351,btc bitcoin double top,0
352,price update bitcoin cryptocurrency btc source,0
353,say go day trade nt care either way price go course year regardless,0
354,qsp xdb ast post doubledigit gain amid sideways moving market fw f f btc btc sol,0
355,zerohedge michaelsaylor one noticed potential correlation skepticism asset performance skeptical highest year treasury allocation least skeptical highest bitcoin allocation btc bitcoin,0
356,infographic history money bitcoin french canadian msm sentiment neutral brief,0
357,transfer wallet transfer another exchange want trade buysell locally obscene premium trade polo bitstamp bitmex australia use livingroomofsatoshi pay bill,0
358,philadelphia er suspend ben simmons one game detrimental conduct joel embiid say job babysit somebody blockchain tron bitcoin,0
359,btc bitcoin people super bearish already final stage wyckoff cycle,0
360,bitcoin battleground convergence coming together almost exactly said would,0
361,gdax seems cover fee sending,0
362,btc price drop fill bitcoin future gap focus turn k bull target,0
363,btctokoloshe kendallnear magdawierzycka well know bitcoin ngmi,0
364,entire crypto market cap pal absolutely best indicator know publicly traded com company brand new one point right know website relatively new thing grand scheme thing right,0
365,price update bitcoin cryptocurrency btc source,0
366,need purchase anything take profit result le sat,0
367,current price bitcoin decreased last hour bitcoin btc cryptocurrency,0
368,ti real time stock scanning gappers scanning charting relative strength stockmarket spy spx tsla amzn amc spx gme nio aapl googl nflx amd gme baba btc eth pltr qqq wmt pypl roku shop bitcoin stock,0
369,sure like better bitcoin price dip cheaper sat tanking shitcoins,0
370,thought btc bitcoin see desmondlzw idea tradingview,0
371,crypto whalealert btc worth recently transferred unknown unknown btc transaction hash fbefaaeddcdaaebbdcdebc,0
372,trader ticking away profit market bitcoin cryptotrading,0
373,oliviacryptos bitcoins volatility index ready another massive movethe next week could start new price trendkeep eye bitcoin christainsbtc super underrated bitcoiner taking tweet tip seriously great follow,0
374,dot long alert exchange ftx market dot perp volume price btc btc eth eth,0
375,need drop k lol happen,0
376,bitcoin bitcoin btc btcusd,0
377,short wave entry price stop loss link bio tz btc bitcoin wave,0
378,lol vulture coming feel coming,0
379,fsn shortterm trend weak continues fall although short volume show sign reduction reversal pattern shortterm attention risk strong support day sma fibonacci support pressure btc altcoin,0
380,new report bitcoin filing entity digihost technology inc name frb registration statement ex filed reporting form,0
381,leverage good bad bitcoin,0
382,think really need wait get answer,0
383,although identical would cool af play imo highlighted area diagram hypothetically bitcoin simpleta,0
384,saylor elonmusk forgot say bitcoin,0
385,btc transferred unknown wallet unknown wallet tx blockchain btc,0
386,bitcoin market alert order balance sell buy sell bid ask spread,0
387,join sat bitcoin lightningnetwork liquidity swap triangle btcln yep connect routing node,0
388,long audio entry price tz stop loss link profile audio btc bitcoin,0
389,need little primer crypto mining really work finished piece argoblockchain arbk arb riot bitcoin ethereum,0
390,ohhhhh zing got lol,0
391,remember start btc price would make swift move kind chop around awhile like,0
392,bitcoin amsterdam kick tomorrow there still time lock ticket join u oct day brilliant mind bitcoin across europe beyond,0
393,take look bitcoinorg list wallet comparison,0
394,let send pic driver license verify could send instantly,0
395,happening world today thought like orange neanderthal bitcoin ethereum,0
396,holy fuck power one tweet,0
397,great article try understand bitcoin energy consumption pow bit difficult grasp everything due thorough analysis complex topic worth reading,0
398,guy oversold doesnt mean time buy bought doesnt mean time sell careful u r trading bitcoin,0
399,sent around btc couple hour ago fee around still even one confirmation norm,0
400,russian crypto market worth b despite bad regulation say exec cryptocurrencies bitcoin technical analysis,1
401,top cryptocurrencies watch week btc ltc icp theta ftt btc bitcoinnews bitcoin,1
402,btc btc thanks play,1
403,life goal go many bitcoin conference possible always earn speaker pas adoptingbtc,1
404,good morning intensified today bitcoin fix,1
405,coindcx believe btc ogn outperform rest crypto december,1
406,bitcoin way current system exclusionary unjust tends prey weak disenfranchised letting corrupt davos crowd walk free alex gladstein bitcoin btc quote,1
407,bitcoin future etf good quite,1
408,rckstardev bitblockboom investment time horizon year better asymmetric investment risk bitcoin hold bitcoin financially free life following ethbtc tweet prediction added holding thank mentor,1
