### Instruction,### Human,### Assistant,text
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"I am playing bitcoin trade, a loss of $ 300,000.
My life is over. #bitcoin #givemebitcoin #help

【BTC】
1PcXbdVubUPmy1xToYyjvho8rS #pleasert",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: I am playing bitcoin trade, a loss of $ 300,000.
My life is over. #bitcoin #givemebitcoin #help

【BTC】
1PcXbdVubUPmy1xToYyjvho8rS #pleasert ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@CryptoShillNye HEY FUCK YOU, TRX IS NEXT BITCOIN BITCH.",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @CryptoShillNye HEY FUCK YOU, TRX IS NEXT BITCOIN BITCH. ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@NickSzabo4 Monopoly: Bitcoin Edition would be the least fun board game ever 😂,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @NickSzabo4 Monopoly: Bitcoin Edition would be the least fun board game ever 😂 ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Anybody that knows how to use bitcoin?,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Anybody that knows how to use bitcoin? ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@CryptoCobain I want to be a big man can u plzzz give me free bitcoin?,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @CryptoCobain I want to be a big man can u plzzz give me free bitcoin? ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},How do you lead a horse to water? With lots of carrots. #Proverb #bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: How do you lead a horse to water? With lots of carrots. #Proverb #bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"“SBI Bits has invested in more blockchain companies than Google.”-Jerry Chan

#bitcoincash #bitcoin #satoshivision conference",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: “SBI Bits has invested in more blockchain companies than Google.”-Jerry Chan

#bitcoincash #bitcoin #satoshivision conference ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@GetCoinJar @boostjuiceoz Watermelon, pineapple and strawberries. Sometimes sweet then sour which is how Bitcoin markets are.",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @GetCoinJar @boostjuiceoz Watermelon, pineapple and strawberries. Sometimes sweet then sour which is how Bitcoin markets are. ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@NickSzabo4 I understood Bitcoin consensus from soccer matches without referees yet we played with well set rules,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @NickSzabo4 I understood Bitcoin consensus from soccer matches without referees yet we played with well set rules ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@FaaipMusic I put 15k in bitcoin last month!,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @FaaipMusic I put 15k in bitcoin last month! ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@SSFCFOTY13 Yesterday I saw a guy with a license plate frame that said ""Bitcoin"" and his plate number was BTC.",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @SSFCFOTY13 Yesterday I saw a guy with a license plate frame that said ""Bitcoin"" and his plate number was BTC. ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@TechnicalCrypto Pretty sure we could have tested bitcoin over the last 10 or so years,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @TechnicalCrypto Pretty sure we could have tested bitcoin over the last 10 or so years ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@DrawnActor @nvidia They told me to invest in bitcoin Kappa,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @DrawnActor @nvidia They told me to invest in bitcoin Kappa ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@TalkingHat @stefapie all your Bitcoin are belong to us amirite guys,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @TalkingHat @stefapie all your Bitcoin are belong to us amirite guys ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"2) whispered.
#bitcoin",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: 2) whispered.
#bitcoin ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@kyletorpey In terms of casual use, dollars are known as bucks- pounds, quid etc. so calling Bitcoin Cash, bcash, isn’t a problem either",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @kyletorpey In terms of casual use, dollars are known as bucks- pounds, quid etc. so calling Bitcoin Cash, bcash, isn’t a problem either ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Fri Mar 23 01:49:23 2018 (7:31)
USD : 8694.09
Wght: 0.43
Blk#: 514743
Size: 341.1 KB
TXs:  868
Pool: 69 (0.0 MB)
#bitcoin",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Fri Mar 23 01:49:23 2018 (7:31)
USD : 8694.09
Wght: 0.43
Blk#: 514743
Size: 341.1 KB
TXs:  868
Pool: 69 (0.0 MB)
#bitcoin ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},My Momma Called Me Asking For 2 Thousand Dollars Off Bitcoin 😂😂,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: My Momma Called Me Asking For 2 Thousand Dollars Off Bitcoin 😂😂 ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"1 bitcoin = $8719.42 / 7077.117€
1 bitcoin-cash = $1016.99 / 825.439€
1 ethereum = $540.051 / 438.332€
#bitcoin #ethereum #bitcoincash",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: 1 bitcoin = $8719.42 / 7077.117€
1 bitcoin-cash = $1016.99 / 825.439€
1 ethereum = $540.051 / 438.332€
#bitcoin #ethereum #bitcoincash ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Education can train, but cannot create intelligence. #EdwardMcChesneySait #bitcoin",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Education can train, but cannot create intelligence. #EdwardMcChesneySait #bitcoin ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},New #bitcoin block 0000000000000000002fa5cee2ae556e0353f8090fa0d234a25d94c2bfb3e832 mined at height 514743.,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: New #bitcoin block 0000000000000000002fa5cee2ae556e0353f8090fa0d234a25d94c2bfb3e832 mined at height 514743. ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"#MAPS has 1 new tx
(📈 input: 0.00115192 BTC / 10.03 USD)
Final balance: 0.00115192 BTC / 10.03 USD
#donation #bitcoin #cryptopaymon 🤖🗿👍",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: #MAPS has 1 new tx
(📈 input: 0.00115192 BTC / 10.03 USD)
Final balance: 0.00115192 BTC / 10.03 USD
#donation #bitcoin #cryptopaymon 🤖🗿👍 ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@AriseUniverse They probably use #BitCoin too,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @AriseUniverse They probably use #BitCoin too ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Bitcoin Don't kid yourself. The rich will always control to some degree because they have the buying power...,Positive,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Bitcoin Don't kid yourself. The rich will always control to some degree because they have the buying power... ### Assistant: Positive
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Thomas1774Paine Bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Thomas1774Paine Bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Crypto shopping 🛒🛍 #crypto #bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Crypto shopping 🛒🛍 #crypto #bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Bitcoin cash,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Bitcoin cash ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@caperthebard @stefapie You can buy ebaum's world merch with bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @caperthebard @stefapie You can buy ebaum's world merch with bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@Billyisgreat123 LOL, obviously your clueless, bitcoin is good, just not as good as it once was",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Billyisgreat123 LOL, obviously your clueless, bitcoin is good, just not as good as it once was ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},#Crypto #retweet bot. Follow for everything crypto. What to get your content #retweeted follow and DM I want retweet. #bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: #Crypto #retweet bot. Follow for everything crypto. What to get your content #retweeted follow and DM I want retweet. #bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},imagine calling yourself the dude nextdoor screaming about Bitcoin on my timeline yikes,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: imagine calling yourself the dude nextdoor screaming about Bitcoin on my timeline yikes ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@NickSzabo4 Every node, not just Trusted 3rd party nodes like some blockchains.  Bitcoin is KING! not just a pretender to the thrown.",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @NickSzabo4 Every node, not just Trusted 3rd party nodes like some blockchains.  Bitcoin is KING! not just a pretender to the thrown. ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@kyletorpey I would go with dev, bcash is based on bitcoin code base for a reason",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @kyletorpey I would go with dev, bcash is based on bitcoin code base for a reason ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@lopp @psycho_sage @naval Would this child understand Bitcoin as trustworthy and use it as peer to peer cash?,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @lopp @psycho_sage @naval Would this child understand Bitcoin as trustworthy and use it as peer to peer cash? ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@Blued0g420 @MisterFarbridge yeah for sure, many things are over priced in this space. #Bitcoin is not one of them however 😎",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Blued0g420 @MisterFarbridge yeah for sure, many things are over priced in this space. #Bitcoin is not one of them however 😎 ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Thanks to my persistence, hard work and constant observation of the markets I could create this FX Robot. #Close #CFD #Bitcoin",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Thanks to my persistence, hard work and constant observation of the markets I could create this FX Robot. #Close #CFD #Bitcoin ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"THE MOST INNOVATIVE AND LUCRATIVE WAY TO EARN BITCOIN
JOIN BITCLUB NETWORK!!",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: THE MOST INNOVATIVE AND LUCRATIVE WAY TO EARN BITCOIN
JOIN BITCLUB NETWORK!! ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@QTRResearch What’s bitcoin doing though,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @QTRResearch What’s bitcoin doing though ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Auggie velarde - bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Auggie velarde - bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Bitcoin is still early in the network effects game,Negative,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Bitcoin is still early in the network effects game ### Assistant: Negative
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@Patatobear I got a bitcoin for yu in tarkov ovo,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @Patatobear I got a bitcoin for yu in tarkov ovo ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Optimal tx fee: 0 satoshi per byte. 
BTC : $8694 / €7054 / £6161 @ Block 514743. 
Market Cap: 147.33B USD. #Bitcoin #ビットコイン",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Optimal tx fee: 0 satoshi per byte. 
BTC : $8694 / €7054 / £6161 @ Block 514743. 
Market Cap: 147.33B USD. #Bitcoin #ビットコイン ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Current price of Bitcoin is $8681.47 #Bitcoin #Bithound,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Current price of Bitcoin is $8681.47 #Bitcoin #Bithound ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"฿ value over 1 year: +796%, (+$7741.95) [Currently  $8714.555] #bitcoin",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: ฿ value over 1 year: +796%, (+$7741.95) [Currently  $8714.555] #bitcoin ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"@tferriss You mean bitcoin, right?  C’mon this is a joke.",Negative,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @tferriss You mean bitcoin, right?  C’mon this is a joke. ### Assistant: Negative"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Related Instagram tags for #cryptocurrency: #bitcoin #blockchain #crypto #ethereum #btc #litecoin #coinbase #trading #forex #ico #bitcoins,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Related Instagram tags for #cryptocurrency: #bitcoin #blockchain #crypto #ethereum #btc #litecoin #coinbase #trading #forex #ico #bitcoins ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"Market Cap: $335,683,404,227.00
Bitcoin Dominance: 43.99 %
24H Volume: $14,688,906,280.00
$BTC #pampit #bogdanoff",Neutral,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Market Cap: $335,683,404,227.00
Bitcoin Dominance: 43.99 %
24H Volume: $14,688,906,280.00
$BTC #pampit #bogdanoff ### Assistant: Neutral"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Valores | dolar R$3.3019 | BITCOIN(MCDTBC) R$30499.00000000 | BITCOIN(BLCHAIN) R$28780.52 | LITECOIN(MCDTBC) R$577.10000000,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Valores | dolar R$3.3019 | BITCOIN(MCDTBC) R$30499.00000000 | BITCOIN(BLCHAIN) R$28780.52 | LITECOIN(MCDTBC) R$577.10000000 ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Current price of Bitcoin is $8704.67,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Current price of Bitcoin is $8704.67 ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},Bitcoin,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: Bitcoin ### Assistant: Neutral
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},"I respect shitcoin's right to exist.

Because all y'all ain't nothing more than Bitcoin testnets.

We will jack all your innovations.",Positive,"### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: I respect shitcoin's right to exist.

Because all y'all ain't nothing more than Bitcoin testnets.

We will jack all your innovations. ### Assistant: Positive"
Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive},@crypToBanger Bitcoin 2013/2014?,Neutral,### Instruction: Detect the sentiment of the tweet. Please choose an answer from {negative/neutral/positive} ### Human: @crypToBanger Bitcoin 2013/2014? ### Assistant: Neutral
